school_district,pop_15_19_times_nyear,pop,count_15_19,rate,lower,upper,lower_onside,upper_oneside,p_value_diff_state_avg,p_value_diff_state_avg_adjusted,significance_diff_state_avg,p_value_oneside_state_avg,significance_oneside_state_avg,p_value_above_state_avg,significance_above_state_avg,p_value_below_state_avg,significance_below_state_avg,state_rate,ratio,school_district_short
Clinton School District,3573,715,19,0.005317660229499021,0.0032015788313368965,0.008304185158574192,0.0034822144393136896,inf,1.2042383997234942e-05,0.0008354063794154166,True,6.021191998617471e-06,True,6.021191998617471e-06,True,0.999998358732031,False,0.001552075094649308,3.4261616901342964,Clinton
Regional School District 04,837,167,4,0.0047789725209080045,0.0013021091680123355,0.012236067712549216,0.0016323995182196307,inf,0.08600876480565751,0.3085380918293163,False,0.04300438240282876,True,0.04300438240282876,True,0.9893665536791283,False,0.001552075094649308,3.0790858879079015,Regional 04
Vernon School District,7016,1403,28,0.003990877993158495,0.0026519094435372764,0.005767929866486344,0.0028364650535156258,inf,2.1060665027279412e-05,0.0008354063794154166,True,1.0530332513639706e-05,True,1.0530332513639706e-05,True,0.9999961183470666,False,0.001552075094649308,2.571317590828449,Vernon
Granby School District,2294,459,9,0.003923278116826504,0.001793972579502325,0.007447603945692749,0.0020467426069505196,inf,0.021867179048413198,0.1445663503756206,False,0.010933589524206599,True,0.010933589524206599,True,0.9962692545404233,False,0.001552075094649308,2.527763076897365,Granby
Tolland School District,4304,861,16,0.0037174721189591076,0.0021248565180393875,0.006036941820994642,0.002331774333706818,inf,0.0030477730650734954,0.025906071053124712,True,0.0015238865325367477,True,0.0015238865325367477,True,0.9994197313618945,False,0.001552075094649308,2.3951625354822617,Tolland
East Windsor School District,2866,573,10,0.0034891835310537334,0.0016731991263546522,0.006416732743202295,0.0018930236207576048,inf,0.03184924949952157,0.1722754859292303,False,0.015924624749760787,True,0.015924624749760787,True,0.9938539803093664,False,0.001552075094649308,2.2480764900374335,East Windsor
Branford School District,6895,1379,24,0.0034807831762146482,0.0022302034597079714,0.00517912945522164,0.002400150647533451,inf,0.0006337659784100277,0.008088407042983472,True,0.00031688298920501385,True,0.00031688298920501385,True,0.9998677863746649,False,0.001552075094649308,2.2426641521498887,Branford
East Haven School District,8115,1623,28,0.003450400492914356,0.002292766069729825,0.004986789395350363,0.002452327642078328,inf,0.00024685947199694835,0.004896046194606142,True,0.00012342973599847418,True,0.00012342973599847418,True,0.9999476124757236,False,0.001552075094649308,2.2230886281272206,East Haven
Guilford School District,7021,1404,24,0.0034183164791340265,0.002190179868207729,0.0050861839615087895,0.002357077156351395,inf,0.0008151531575924961,0.00881847506850064,True,0.00040757657879624806,True,0.00040757657879624806,True,0.9998269631669071,False,0.001552075094649308,2.202416939050489,Guilford
Bolton School District,3619,724,12,0.0033158331030671458,0.0017133393502962745,0.005792093132958541,0.0019132944221014402,inf,0.0255126636742376,0.15306575628470795,False,0.0127563318371188,True,0.0127563318371188,True,0.994729915332964,False,0.001552075094649308,2.136387030819768,Bolton
Stafford School District,4064,813,13,0.0031988188976377952,0.0017032363412903054,0.0054700777357674394,0.0018921206426257041,inf,0.02572533719070722,0.15306575628470795,False,0.01286266859535361,True,0.01286266859535361,True,0.9944590490901105,False,0.001552075094649308,2.0609949278005586,Stafford
Regional School District 08,2938,588,9,0.0030633083730428863,0.0014007396519327207,0.005815113496058259,0.0015981033152976487,inf,0.08620420476671786,0.3085380918293163,False,0.04310210238335893,True,0.04310210238335893,True,0.9814753174250672,False,0.001552075094649308,1.973685669980448,Regional 08
East Granby School District,1324,265,4,0.0030211480362537764,0.0008231611583280399,0.007735338878703696,0.00103196253530954,inf,0.30585066251963117,0.6740042377747427,False,0.15292533125981558,False,0.15292533125981558,False,0.9422532641752238,False,0.001552075094649308,1.946521818866249,East Granby
Southington School District,11258,2252,33,0.0029312488896784507,0.002017736860253139,0.004116563267824595,0.0021453800823846045,inf,0.0011847570692161212,0.0117488409363932,True,0.0005923785346080606,True,0.0005923785346080606,True,0.9997035006780504,False,0.001552075094649308,1.888599913614855,Southington
Bristol School District,15724,3145,44,0.0027982701602645636,0.0020332273822274444,0.0037565470796430763,0.002142369450925756,inf,0.0004513193829449972,0.007465772237774695,True,0.0002256596914724986,True,0.0002256596914724986,True,0.9998803759450227,False,0.001552075094649308,1.8029218881943558,Bristol
West Haven School District,19358,3872,54,0.002789544374418845,0.002095591588622004,0.003639750304458658,0.0021958596425270638,inf,0.00010528376500559181,0.0031321920089163566,True,5.2641882502795904e-05,True,5.2641882502795904e-05,True,0.9999717939786569,False,0.001552075094649308,1.7972998755251233,West Haven
Manchester School District,17490,3498,47,0.0026872498570611777,0.001974490118185578,0.00357347263239834,0.0020766085702082528,inf,0.0006796980708389472,0.008088407042983472,True,0.0003398490354194736,True,0.0003398490354194736,True,0.9998122349640979,False,0.001552075094649308,1.7313916487193959,Manchester
Regional School District 11,773,155,2,0.00258732212160414,0.0003133367122172897,0.00934629711219141,0.0004597173488986571,inf,0.6745676736968682,0.8745793209042377,False,0.3372838368484341,False,0.3372838368484341,False,0.8795404314843338,False,0.001552075094649308,1.6670083364676027,Regional 11
Windsor Locks School District,4329,866,11,0.002541002541002541,0.0012684593132910233,0.004546555443128195,0.0014250421088924281,inf,0.1595488225681973,0.42191799745812175,False,0.07977441128409865,False,0.07977441128409865,False,0.9583455274244426,False,0.001552075094649308,1.637164689880345,Windsor Locks
North Stonington School District,1576,315,4,0.0025380710659898475,0.0006915389426562975,0.006498469971702852,0.0008669532974300958,inf,0.4619206784511956,0.759473297507819,False,0.2309603392255978,False,0.2309603392255978,False,0.8982655937047371,False,0.001552075094649308,1.6352759442759603,North Stonington
Plainville School District,5927,1185,15,0.0025307912940779483,0.0014164646756847166,0.0041741553689026226,0.001560035513915427,inf,0.09655609573090171,0.3282907254850658,False,0.048278047865450854,True,0.048278047865450854,True,0.9738312811314985,False,0.001552075094649308,1.6305855965363465,Plainville
Griswold School District,5703,1141,14,0.0024548483254427495,0.0013420884229880055,0.004118818362587336,0.0014841202037894526,inf,0.13322995730312323,0.38854924604775015,False,0.06661497865156162,False,0.06661497865156162,False,0.9631473082062725,False,0.001552075094649308,1.5816556388964051,Griswold
Cromwell School District,3695,739,9,0.002435723951285521,0.0011137680913067209,0.004623762774403022,0.0012706975751947203,inf,0.2532663215646611,0.6150753523713198,False,0.12663316078233056,False,0.12663316078233056,False,0.9331169216622368,False,0.001552075094649308,1.5693338290669976,Cromwell
Westbrook School District,2484,497,6,0.0024154589371980675,0.0008864308588932572,0.005257437207133126,0.0010519383028165536,inf,0.3853814762949706,0.6844835175985299,False,0.1926907381474853,False,0.1926907381474853,False,0.9038463583559456,False,0.001552075094649308,1.5562771063882328,Westbrook
Torrington School District,9965,1993,24,0.002408429503261415,0.0015431262272640705,0.003583552192047487,0.0016607163788001148,inf,0.052939776575462096,0.2165210306095822,False,0.026469888287731048,True,0.026469888287731048,True,0.984386132118811,False,0.001552075094649308,1.5517480510861497,Torrington
Putnam School District,2562,512,6,0.00234192037470726,0.0008594435025335093,0.005097374716049448,0.00101991207814064,inf,0.4223892017529809,0.7180616429800675,False,0.21119460087649045,False,0.21119460087649045,False,0.8917688143580613,False,0.001552075094649308,1.508896304554399,Putnam
Newington School District,7969,1594,18,0.002258752666583009,0.001338679982482059,0.003569803020144056,0.001459945351919549,inf,0.15637726431526197,0.42191799745812175,False,0.07818863215763099,False,0.07818863215763099,False,0.9522756955236583,False,0.001552075094649308,1.4553114564945553,Newington
Enfield School District,12120,2424,27,0.0022277227722772275,0.0014680833442050143,0.0032412196736932453,0.0015724512402012954,inf,0.0881537405226618,0.3085380918293163,False,0.0440768702613309,True,0.0440768702613309,True,0.9718691734091899,False,0.001552075094649308,1.4353189352481572,Enfield
Windsor School District,8883,1777,19,0.0021389170325340537,0.0012877677771436149,0.0033401838986362254,0.0014006475505648783,inf,0.21182459799840384,0.536321854506597,False,0.10591229899920192,False,0.10591229899920192,False,0.9318646372406095,False,0.001552075094649308,1.3781015106213936,Windsor
Wolcott School District,6692,1338,14,0.0020920502092050207,0.001143743316841093,0.003510104770148771,0.0012647844474314477,inf,0.33062949786077944,0.6831320124494328,False,0.16531474893038972,False,0.16531474893038972,False,0.8948523585154775,False,0.001552075094649308,1.3479052762442016,Wolcott
Regional School District 13,3350,670,7,0.00208955223880597,0.0008401083735880196,0.004305276227373844,0.000980691251311842,inf,0.5350471725286448,0.8059571333026422,False,0.2675235862643224,False,0.2675235862643224,False,0.8449832983031327,False,0.001552075094649308,1.3462958371083877,Regional 13
East Hampton School District,4351,870,9,0.002068490002298322,0.0009458453452949514,0.003926638347832491,0.0010791145806353694,inf,0.47865964128644056,0.759473297507819,False,0.23932982064322028,False,0.23932982064322028,False,0.8546270310730887,False,0.001552075094649308,1.3327254650431064,East Hampton
Portland School District,3432,686,7,0.0020396270396270395,0.000820035854172455,0.004202411235927266,0.0009572598169856265,inf,0.5739588517531329,0.8099890080121692,False,0.28697942587656644,False,0.28697942587656644,False,0.8303545201445424,False,0.001552075094649308,1.3141290950795743,Portland
East Hartford School District,17791,3558,36,0.0020234950255747287,0.0014172310391386222,0.0028013700460477876,0.0015025106223173572,inf,0.1422943901763349,0.39379145188334547,False,0.07114719508816746,False,0.07114719508816746,False,0.9496199332381601,False,0.001552075094649308,1.3037352590416627,East Hartford
Regional School District 10,5459,1092,11,0.002015021066129328,0.0010058912561342443,0.003605429293515654,0.0011300617859306323,inf,0.467280562232651,0.759473297507819,False,0.2336402811163255,False,0.2336402811163255,False,0.8509747743786773,False,0.001552075094649308,1.2982754978003321,Regional 10
Naugatuck School District,8692,1738,17,0.001955821445006903,0.0011393380659925558,0.0031314595968599417,0.0012462195531840758,inf,0.40341687475974947,0.7059795308295616,False,0.20170843737987473,False,0.20170843737987473,False,0.8614707462695885,False,0.001552075094649308,1.2601332575656217,Naugatuck
Plymouth School District,4165,833,8,0.0019207683073229293,0.0008292514229888358,0.003784679284560219,0.0009557797805976652,inf,0.6440850668134852,0.8552299150942504,False,0.3220425334067426,False,0.3220425334067426,False,0.7957862122751569,False,0.001552075094649308,1.2375485657521794,Plymouth
Ellington School District,5220,1044,10,0.0019157088122605363,0.0009186568383395467,0.0035230567130302257,0.0010393497504006313,inf,0.5921768377904094,0.8099890080121692,False,0.2960884188952047,False,0.2960884188952047,False,0.8056507930877292,False,0.001552075094649308,1.234288739549288,Ellington
Stamford School District,33225,6645,63,0.0018961625282167044,0.001457063349751309,0.0024260155692066364,0.00152105629452942,inf,0.13482375185168016,0.38854924604775015,False,0.06741187592584008,False,0.06741187592584008,False,0.9479694588653539,False,0.001552075094649308,1.221695093719124,Stamford
North Haven School District,6921,1384,13,0.0018783412801618264,0.0010001376233208788,0.003212020794416829,0.0011110501794005002,inf,0.5668408163174596,0.8099890080121692,False,0.2834204081587298,False,0.2834204081587298,False,0.804608887131376,False,0.001552075094649308,1.210212886372124,North Haven
Madison School District,7469,1494,14,0.0018744142455482662,0.001024759710309358,0.0031449486038071465,0.0011332089332188042,inf,0.552535719187952,0.8099890080121692,False,0.276267859593976,False,0.276267859593976,False,0.8075830387580434,False,0.001552075094649308,1.2076827029891817,Madison
Regional School District 18,3263,653,6,0.0018387986515476554,0.0006748066973615846,0.004002290537088166,0.000800801331350389,inf,0.7906831620078599,0.9540943828388966,False,0.39534158100392996,False,0.39534158100392996,False,0.7527042621301538,False,0.001552075094649308,1.1847356212897242,Regional 18
Bloomfield School District,5475,1095,10,0.0018264840182648401,0.000875870081485376,0.003358969140094571,0.0009909416798340265,inf,0.693432252507918,0.8872950327789488,False,0.346716126253959,False,0.346716126253959,False,0.763625625414534,False,0.001552075094649308,1.176801318803157,Bloomfield
Milford School District,14291,2858,26,0.0018193268490658456,0.0011884447005525392,0.002665735363734168,0.001274826577433057,inf,0.4697173908031069,0.759473297507819,False,0.23485869540155346,False,0.23485869540155346,False,0.8222605144959566,False,0.001552075094649308,1.1721899638347868,Milford
Montville School District,5561,1112,10,0.0017982377270275131,0.0008623248869146616,0.003307023204822474,0.0009756169208939571,inf,0.728221028450996,0.9121926566912476,False,0.364110514225498,False,0.364110514225498,False,0.748728330712205,False,0.001552075094649308,1.158602269456444,Montville
Regional School District 01,4491,898,8,0.0017813404586951682,0.0007690563742481633,0.0035099508394997357,0.0008864000859918227,inf,0.7937423857231157,0.9540943828388966,False,0.39687119286155786,False,0.39687119286155786,False,0.7329461918047453,False,0.001552075094649308,1.1477153810638672,Regional 01
Canton School District,3381,676,6,0.001774622892635315,0.0006512553249011686,0.0038626069276896436,0.0007728526306407333,inf,0.8547852481739503,0.9875674226475736,False,0.42739262408697515,False,0.42739262408697515,False,0.7251622180890748,False,0.001552075094649308,1.1433872618362528,Canton
Waterford School District,5666,1133,10,0.0017649135192375574,0.0008463446339803095,0.0032457388002149275,0.0009575371862144891,inf,0.7709584224486641,0.9540943828388966,False,0.38547921122433204,False,0.38547921122433204,False,0.7301105402091115,False,0.001552075094649308,1.1371315249642224,Waterford
Regional School District 15,7946,1589,14,0.0017618927762396174,0.0009632431759754083,0.002956156697940546,0.001065182169923389,inf,0.708059636675401,0.8963733698337523,False,0.3540298183377005,False,0.3540298183377005,False,0.7411155472437254,False,0.001552075094649308,1.1351852641110243,Regional 15
Hamden School District,30704,6141,53,0.0017261594580510683,0.0012930118854988753,0.0022578590714305707,0.0013555279727002936,inf,0.47507631929196037,0.759473297507819,False,0.23753815964598018,False,0.23753815964598018,False,0.8034366661095429,False,0.001552075094649308,1.1121623328677244,Hamden
Glastonbury School District,13362,2672,23,0.001721299206705583,0.001091156042287433,0.0025827939600982664,0.001176432991569265,inf,0.6761453573377301,0.8745793209042377,False,0.33807267866886503,False,0.33807267866886503,False,0.735511391501498,False,0.001552075094649308,1.1090308791370118,Glastonbury
Wilton School District,7052,1410,12,0.0017016449234259785,0.0008792647630065538,0.002972431232016018,0.0009818792560387284,inf,0.8283912488821437,0.9664564570291676,False,0.41419562444107183,False,0.41419562444107183,False,0.6946745449831195,False,0.001552075094649308,1.0963676495372576,Wilton
North Branford School District,5324,1065,9,0.0016904583020285499,0.0007729851798231281,0.003209016425886395,0.0008818984861653816,inf,0.8882927552013438,0.9879143726071019,False,0.4441463776006719,False,0.4441463776006719,False,0.6834713582117193,False,0.001552075094649308,1.0891601236668962,North Branford
South Windsor School District,9495,1899,16,0.0016850974196945762,0.0009631787734219614,0.0027364926379737694,0.001056972799607598,inf,0.8099717290775057,0.9627732981204129,False,0.40498586453875285,False,0.40498586453875285,False,0.6891437356887008,False,0.001552075094649308,1.0857061140300848,South Windsor
Killingly School District,5948,1190,10,0.0016812373907195697,0.0008062186778971811,0.0030918554206485842,0.0009121394917772857,inf,0.8861904071123291,0.9879143726071019,False,0.44309520355616455,False,0.44309520355616455,False,0.6781819427831177,False,0.001552075094649308,1.0832191022944324,Killingly
Coventry School District,4788,958,8,0.001670843776106934,0.0007213517495297622,0.003292228325019489,0.0008314166220111269,inf,0.9305623540610213,1.0,False,0.46528117703051064,False,0.46528117703051064,False,0.6713741063422483,False,0.001552075094649308,1.0765225096820858,Coventry
Simsbury School District,9337,1867,15,0.001606511727535611,0.000899152418633749,0.0026496967839226564,0.0009902892246949485,inf,0.9630675024646146,1.0,False,0.4815337512323073,False,0.4815337512323073,False,0.6200035117106264,False,0.001552075094649308,1.0350734530010632,Simsbury
Rocky Hill School District,4360,872,7,0.0016055045871559634,0.0006454961127339141,0.003307953064610637,0.0007535127733703372,inf,1.0,1.0,False,0.5150343781901585,False,0.5150343781901585,False,0.6333788626879728,False,0.001552075094649308,1.0344245537415366,Rocky Hill
